"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769727750,"2026/01/30 00:02:30",21.2,30,602,0,
1769728350,"2026/01/30 00:12:30",21.1,30,592,0,
1769728950,"2026/01/30 00:22:30",21.1,30,602,0,
1769729550,"2026/01/30 00:32:30",21.1,30,603,0,
1769730150,"2026/01/30 00:42:30",21.1,30,602,0,
1769730750,"2026/01/30 00:52:30",21.1,30,603,0,
1769731350,"2026/01/30 01:02:30",21.1,30,592,0,
1769731950,"2026/01/30 01:12:30",21.1,30,602,0,
1769732550,"2026/01/30 01:22:30",21,30,603,0,
1769733150,"2026/01/30 01:32:30",21,30,602,0,
1769733750,"2026/01/30 01:42:30",21.1,30,592,0,
1769734350,"2026/01/30 01:52:30",21.1,30,602,0,
1769734950,"2026/01/30 02:02:30",21.1,30,603,0,
1769735550,"2026/01/30 02:12:30",21.1,30,602,0,
1769736150,"2026/01/30 02:22:30",21.1,30,592,0,
1769736750,"2026/01/30 02:32:30",21.1,30,603,0,
1769737350,"2026/01/30 02:42:30",21.1,30,602,0,
1769737950,"2026/01/30 02:52:30",21.1,30,603,0,
1769738550,"2026/01/30 03:02:30",21.1,30,602,0,
1769739150,"2026/01/30 03:12:30",21.1,30,592,0,
1769739750,"2026/01/30 03:22:30",21.1,30,602,0,
1769740350,"2026/01/30 03:32:30",21.1,30,603,0,
1769740950,"2026/01/30 03:42:30",21.1,30,602,0,
1769741550,"2026/01/30 03:52:30",21.1,30,592,0,
1769742150,"2026/01/30 04:02:30",21.1,30,603,0,
1769742750,"2026/01/30 04:12:30",21.1,30,602,0,
1769743350,"2026/01/30 04:22:30",21.1,30,603,0,
1769743950,"2026/01/30 04:32:30",21.1,30,591,0,
1769744550,"2026/01/30 04:42:30",21.1,30,603,0,
1769745150,"2026/01/30 04:52:30",21.1,30,601,0,
1769745750,"2026/01/30 05:02:30",21.1,30,603,0,
1769746350,"2026/01/30 05:12:30",21.1,30,602,0,
1769746950,"2026/01/30 05:22:30",21.1,30,592,0,
1769747550,"2026/01/30 05:32:30",21.2,30,603,0,
1769748150,"2026/01/30 05:42:30",21.2,30,602,0,
1769748750,"2026/01/30 05:52:30",21.2,30,603,0,
1769749350,"2026/01/30 06:02:30",21.2,30,591,0,
1769749950,"2026/01/30 06:12:30",21.2,30,603,0,
1769750550,"2026/01/30 06:22:30",21.2,30,602,0,
1769751150,"2026/01/30 06:32:30",21.2,30,603,0,
1769751750,"2026/01/30 06:42:30",21.2,30,592,0,
1769752350,"2026/01/30 06:52:30",21.2,30,602,0,
