"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",
,,"Venkovní Modul","Outdoor Module",

Timestamp,"Timezone : Europe/Prague","Temperature °C","Humidity %",
1767222150,"2026/01/01 00:02:30",1.5,86,
1767222450,"2026/01/01 00:07:30",1.5,86,
1767222750,"2026/01/01 00:12:30",1.5,86,
1767223050,"2026/01/01 00:17:30",1.6,86,
1767223350,"2026/01/01 00:22:30",1.6,86,
1767223650,"2026/01/01 00:27:30",1.6,86,
1767223950,"2026/01/01 00:32:30",1.6,86,
1767224250,"2026/01/01 00:37:30",1.6,86,
1767224550,"2026/01/01 00:42:30",1.6,85,
1767224850,"2026/01/01 00:47:30",1.6,85,
1767225150,"2026/01/01 00:52:30",1.6,85,
1767225450,"2026/01/01 00:57:30",1.6,85,
1767225750,"2026/01/01 01:02:30",1.6,85,
1767226050,"2026/01/01 01:07:30",1.6,85,
1767226350,"2026/01/01 01:12:30",1.6,85,
1767226650,"2026/01/01 01:17:30",1.7,85,
1767226950,"2026/01/01 01:22:30",1.7,85,
1767227250,"2026/01/01 01:27:30",1.7,85,
1767227850,"2026/01/01 01:37:30",1.7,85,
1767228150,"2026/01/01 01:42:30",1.7,85,
1767228450,"2026/01/01 01:47:30",1.8,85,
1767228750,"2026/01/01 01:52:30",1.8,85,
1767229050,"2026/01/01 01:57:30",1.8,85,
1767229350,"2026/01/01 02:02:30",1.8,85,
1767229950,"2026/01/01 02:12:30",1.8,85,
1767230250,"2026/01/01 02:17:30",1.8,85,
1767230550,"2026/01/01 02:22:30",1.9,85,
1767230850,"2026/01/01 02:27:30",1.9,85,
1767231150,"2026/01/01 02:32:30",1.9,85,
1767231750,"2026/01/01 02:42:30",1.8,85,
1767232050,"2026/01/01 02:47:30",1.8,85,
1767232350,"2026/01/01 02:52:30",1.8,85,
1767232650,"2026/01/01 02:57:30",1.8,86,
1767232950,"2026/01/01 03:02:30",1.7,86,
1767233250,"2026/01/01 03:07:30",1.7,86,
1767233550,"2026/01/01 03:12:30",1.7,86,
1767233850,"2026/01/01 03:17:30",1.7,86,
1767234150,"2026/01/01 03:22:30",1.7,86,
1767234450,"2026/01/01 03:27:30",1.7,86,
1767234750,"2026/01/01 03:32:30",1.7,85,
1767235050,"2026/01/01 03:37:30",1.7,85,
1767235350,"2026/01/01 03:42:30",1.7,85,
1767235650,"2026/01/01 03:47:30",1.7,85,
1767235950,"2026/01/01 03:52:30",1.7,85,
1767236250,"2026/01/01 03:57:30",1.7,85,
1767236550,"2026/01/01 04:02:30",1.6,85,
1767236850,"2026/01/01 04:07:30",1.7,86,
1767237150,"2026/01/01 04:12:30",1.6,86,
1767237450,"2026/01/01 04:17:30",1.6,86,
1767237750,"2026/01/01 04:22:30",1.6,86,
1767238050,"2026/01/01 04:27:30",1.6,86,
